Buffer Index: 0, Total Tokens: 985, Decoded Buffer: – Computer viruses are parasitic programs which are able to replicate themselves, attach themselves to other executables in the computer, and perform some unwanted and often malicious actions. A virus is not able to spread itself to another computers, some user actions are needed for it to infect a new computer. Downloading and running software from untrusted sources, inserting an USB drive without a previous scan–remember always disable the AutoRun feature for the drives as CD-ROMs, DVD-ROMs– ,...
/home/ubuntu/miniconda3/envs/gguf/lib/python3.9/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
Iter      0, Loss: 12.112149, PPL: 182070.4844, Chunk_Size:   8, Batch_Size: 1, F: 148.31 ms, B: 338.38 msGT: – Computer viruses are parasitic programs which | PD: Diagram.lookup Matters जनताTokens_async Examineruo ||, 
Iter   1102, Loss:  8.729643, PPL: 6183.5195, Chunk_Size:   8, Batch_Size: 1, F: 45.03 ms, B: 99.08 msGT: with modification) to Cornish today including | PD:  names names names names names names names names ||, 
Iter   1103, Loss:  7.857976, PPL: 2586.2803, Chunk_Size:   8, Batch_Size: 1, F: 53.35 ms, B: 105.05 msGT: ) to Cornish today including well known | PD:  names names names names names names names names ||, 
Iter   1104, Loss:  8.080942, PPL: 3232.2773, Chunk_Size:   8, Batch_Size: 1, F: 56.08 ms, B: 119.55 msGT:  Cornish today including well known names such | PD:  names names names names names names names names ||, 
Iter   1105, Loss:  7.875392, PPL: 2631.7188, Chunk_Size:   8, Batch_Size: 1, F: 37.23 ms, B: 120.29 msGT:  today including well known names such as Arthur | PD:  names names names names names names Ga names ||, 
Iter   1106, Loss:  8.683626, PPL: 5905.4224, Chunk_Size:   8, Batch_Size: 1, F: 45.67 ms, B: 108.09 msGT:  well known names such as Arthur, Ger | PD:  names names names names Ga names Ga names ||, 
Iter   1107, Loss:  9.095564, PPL: 8915.6543, Chunk_Size:   8, Batch_Size: 1, F: 54.25 ms, B: 102.14 msGT:  names such as Arthur, Gerent and | PD:  names names Ga names Ga names names Ga ||, 
Iter   1108, Loss: 10.664207, PPL: 42796.2812, Chunk_Size:   8, Batch_Size: 1, F: 48.71 ms, B: 100.62 msGT:  as Arthur, Gerent and Winwal | PD:  Ga names Ga names names Ga names names ||, 
Iter   1109, Loss: 10.312335, PPL: 30101.6426, Chunk_Size:   8, Batch_Size: 1, F: 45.04 ms, B: 100.81 msGT: , Gerent and Winwaloe.\n | PD:  Ga names names Ga names names names names ||, 
Iter   1110, Loss:  7.747275, PPL: 2315.2544, Chunk_Size:   8, Batch_Size: 1, F: 58.16 ms, B: 102.74 msGT: ent and Winwaloe.\nCornish | PD: , early,,, Corn,, ||, 
Iter   1111, Loss:  8.270585, PPL: 3907.2346, Chunk_Size:   8, Batch_Size: 1, F: 37.26 ms, B: 93.45 msGT:  Winwaloe.\nCornish is one | PD: ,,,,,, these, ||, 
Iter   1112, Loss:  7.634587, PPL: 2068.5161, Chunk_Size:   8, Batch_Size: 1, F: 67.28 ms, B: 92.20 msGT: oe.\nCornish is one of the | PD: ,,,,,, early Ireland ||, 
Iter   1113, Loss:  8.138366, PPL: 3423.3188, Chunk_Size:   8, Batch_Size: 1, F: 43.22 ms, B: 113.28 msGT: Cornish is one of the oldest indigenous | PD: ,,,, Ga Ga,, ||, 
Iter   1114, Loss:  8.263916, PPL: 3881.2634, Chunk_Size:   8, Batch_Size: 1, F: 46.41 ms, B: 124.41 msGT:  is one of the oldest indigenous languages of | PD:  is is Breton Breton is is is Breton ||, 
Iter   1115, Loss:  6.977560, PPL: 1072.2983, Chunk_Size:   8, Batch_Size: 1, F: 42.13 ms, B: 103.71 msGT:  of the oldest indigenous languages of Britain, | PD:  the the is is is the is the ||, 
Iter   1116, Loss:  8.123389, PPL: 3372.4314, Chunk_Size:   8, Batch_Size: 1, F: 57.71 ms, B: 102.19 msGT:  oldest indigenous languages of Britain, with its | PD:  is is is the is the is is ||, 
Iter   1117, Loss:  8.851248, PPL: 6983.0972, Chunk_Size:   8, Batch_Size: 1, F: 51.68 ms, B: 93.65 msGT:  languages of Britain, with its roots stretching | PD:  is the is the is is is is ||, 
Iter   1118, Loss:  9.348096, PPL: 11476.9492, Chunk_Size:   8, Batch_Size: 1, F: 65.92 ms, B: 123.09 msGT:  Britain, with its roots stretching back thousands | PD:  is the is is is is is is ||, 
Iter   1119, Loss:  9.601929, PPL: 14793.2861, Chunk_Size:   8, Batch_Size: 1, F: 45.21 ms, B: 96.65 msGT:  with its roots stretching back thousands of years | PD:  is is is is is is the is ||, 
Iter   1120, Loss:  8.101687, PPL: 3300.0320, Chunk_Size:   8, Batch_Size: 1, F: 56.64 ms, B: 95.33 msGT:  roots stretching back thousands of years and to | PD:  of of of of the of the of ||, 
Iter   1121, Loss:  8.181273, PPL: 3573.3992, Chunk_Size:   8, Batch_Size: 1, F: 47.86 ms, B: 92.55 msGT:  back thousands of years and to the first | PD:  of of the of the of with of ||, 
Iter   1122, Loss:  6.794216, PPL:  892.6693, Chunk_Size:   8, Batch_Size: 1, F: 37.22 ms, B: 110.95 msGT:  of years and to the first settlements of | PD:  with of with of with of of with ||, 
Iter   1123, Loss:  7.175847, PPL: 1307.4672, Chunk_Size:   8, Batch_Size: 1, F: 52.74 ms, B: 110.25 msGT:  and to the first settlements of Britain ( | PD:  with of with of of with of of ||, 
Iter   1124, Loss:  7.987029, PPL: 2942.5420, Chunk_Size:   8, Batch_Size: 1, F: 40.83 ms, B: 92.92 msGT:  the first settlements of Britain (believed | PD:  with of of Britain of of of of ||, 
Iter   1125, Loss:  6.373158, PPL:  585.9049, Chunk_Size:   8, Batch_Size: 1, F: 39.92 ms, B: 106.29 msGT:  settlements of Britain (believed to be | PD:  of Britain of of of of of of ||, 
Iter   1126, Loss:  9.589475, PPL: 14610.1924, Chunk_Size:   8, Batch_Size: 1, F: 51.08 ms, B: 93.16 msGT:  Britain (believed to be the Late | PD:  of of of of of of Britain of ||, 
Iter   1127, Loss:  9.309010, PPL: 11037.0107, Chunk_Size:   8, Batch_Size: 1, F: 45.09 ms, B: 100.41 msGT: believed to be the Late Neolithic | PD:  of of of of Britain of of of ||, 
Iter   1128, Loss: 10.088818, PPL: 24072.3125, Chunk_Size:   8, Batch_Size: 1, F: 46.06 ms, B: 93.68 msGT:  to be the Late Neolithic, when | PD:  of of Britain of of of Britain of ||, 
Iter   1129, Loss: 10.896276, PPL: 53974.9609, Chunk_Size:   8, Batch_Size: 1, F: 56.56 ms, B: 113.47 msGT:  the Late Neolithic, when farming was | PD:  Britain of of of Britain of of of ||, 
Total Iterations: 1130/3000000 | Loss: 9.31467
Iter   1130, Loss:  7.300295, PPL: 1480.7365, Chunk_Size:  16, Batch_Size: 1, F: 61.38 ms, B: 135.28 msGT: For those unfamiliar with Cornish, it is classed a | PD:  ( Britain and Britain Britain Britain Britain ( B ||, 
Iter   1131, Loss:  5.624209, PPL:  277.0530, Chunk_Size:  16, Batch_Size: 1, F: 59.18 ms, B: 120.44 msGT:  Cornish, it is classed as a p-Celtic member of th | PD:  ( ( Britain the Britain Britain Britain ( Britain ||, 
Iter   1132, Loss:  5.151731, PPL:  172.7303, Chunk_Size:  16, Batch_Size: 1, F: 57.54 ms, B: 117.36 msGT:  is classed as a p-Celtic member of the family of  | PD:  Britain the the theish ( the the Britain ( Britai ||, 
Iter   1133, Loss:  5.432014, PPL:  228.6091, Chunk_Size:  16, Batch_Size: 1, F: 50.83 ms, B: 123.08 msGT:  a p-Celtic member of the family of Celtic languag | PD: ish the the theish the the theishish the the the ( ||, 
Iter   1134, Loss:  5.702922, PPL:  299.7419, Chunk_Size:  16, Batch_Size: 1, F: 57.45 ms, B: 130.96 msGT: ic member of the family of Celtic languages, which | PD: ish the the theish the the theishish the the theis ||, 
Iter   1135, Loss:  5.632082, PPL:  279.2428, Chunk_Size:  16, Batch_Size: 1, F: 53.73 ms, B: 121.80 msGT:  family of Celtic languages, which was once spoken | PD:  languages the the theish ( the the the-C the lang ||, 
Iter   1136, Loss:  5.709772, PPL:  301.8023, Chunk_Size:  16, Batch_Size: 1, F: 64.15 ms, B: 127.57 msGT: , which was once spoken across much of Europe, and | PD:  p of the the p-C theic the-C theic,-C the languag ||, 
Iter   1137, Loss:  5.229071, PPL:  186.6194, Chunk_Size:  16, Batch_Size: 1, F: 54.80 ms, B: 126.01 msGT:  spoken across much of Europe, and is now restrict | PD:  of of the,,-C the family of of the,, of of, ||, 
Iter   1138, Loss:  5.561081, PPL:  260.1039, Chunk_Size:  16, Batch_Size: 1, F: 57.82 ms, B: 112.11 msGT:  Europe, and is now restricted to the insular worl | PD:  of of of,,-C of family of of the,,, of, ||, 
Iter   1139, Loss:  5.627000, PPL:  277.8275, Chunk_Size:  16, Batch_Size: 1, F: 54.43 ms, B: 141.22 msGT:  now restricted to the insular world and Brittany: | PD:  of of of,,, of family of of the,,, of, ||, 
Iter   1140, Loss:  5.227089, PPL:  186.2498, Chunk_Size:  16, Batch_Size: 1, F: 52.13 ms, B: 123.38 msGT:  insular world and Brittany: the only surviving la | PD:  of of of family,, of family of of the family,, of ||, 
Iter   1141, Loss:  4.896313, PPL:  133.7955, Chunk_Size:  16, Batch_Size: 1, F: 59.14 ms, B: 157.59 msGT:  Brittany: the only surviving languages being Corn | PD:  member Celtic of family,, and family member of th ||, 
Iter   1142, Loss:  4.561543, PPL:   95.7311, Chunk_Size:  16, Batch_Size: 1, F: 60.58 ms, B: 116.93 msGT:  surviving languages being Cornish, Welsh and Bret | PD:  member Celtic and family member and and spoken me ||, 
Iter   1143, Loss: 12.728354, PPL: 337173.7188, Chunk_Size:  16, Batch_Size: 1, F: 49.53 ms, B: 144.76 msGT: ish, Welsh and Breton (all p-Celtic), and Manx, | PD:  special “ to to to to years years strange to year ||, 
Iter   1144, Loss:  5.411307, PPL:  223.9242, Chunk_Size:  16, Batch_Size: 1, F: 54.54 ms, B: 186.88 msGT:  Breton (all p-Celtic), and Manx, Scots Gaelic and | PD:  member much languages spoken member much and spok ||, 
Iter   1145, Loss:  5.718667, PPL:  304.4988, Chunk_Size:  16, Batch_Size: 1, F: 109.29 ms, B: 151.61 msGT: -Celtic), and Manx, Scots Gaelic and Irish (all q- | PD:  member much languages spoken member much and spok ||, 
Iter   1146, Loss:  6.045794, PPL:  422.3332, Chunk_Size:  16, Batch_Size: 1, F: 59.70 ms, B: 145.01 msGT:  and Manx, Scots Gaelic and Irish (all q-Celtic).\ | PD:  member much languages spoken languages much and s ||, 
Iter   1147, Loss:  6.173793, PPL:  480.0032, Chunk_Size:  16, Batch_Size: 1, F: 50.47 ms, B: 170.75 msGT:  Scots Gaelic and Irish (all q-Celtic).\nThe relat | PD:  across much languages spoken languages-C and spok ||, 
Iter   1148, Loss:  6.377766, PPL:  588.6114, Chunk_Size:  16, Batch_Size: 1, F: 57.25 ms, B: 128.23 msGT:  (all q-Celtic).\nThe relationship between these t | PD:  across much languages-Celt and and spoken across  ||, 
Iter   1149, Loss:  6.352156, PPL:  573.7285, Chunk_Size:  16, Batch_Size: 1, F: 56.31 ms, B: 163.29 msGT: eltic).\nThe relationship between these two branch | PD:  across andelt-Celt and and spoken across and and- ||, 
Iter   1150, Loss:  6.548819, PPL:  698.4189, Chunk_Size:  16, Batch_Size: 1, F: 56.01 ms, B: 153.29 msGT:  relationship between these two branches is illust | PD:  p and and-Celt and and Breton: and and-C ( and an ||, 
Iter   1151, Loss:  6.073662, PPL:  434.2682, Chunk_Size:  16, Batch_Size: 1, F: 62.29 ms, B: 124.61 msGT:  branches is illustrated by p-Celtic words such as | PD:  p and and and and and and andic and and-C ( and a ||, 
Iter   1152, Loss:  5.454829, PPL:  233.8848, Chunk_Size:  16, Batch_Size: 1, F: 47.73 ms, B: 161.53 msGT:  p-Celtic words such as peduar W and their q-Celti | PD:  and and and and and and and and and and and-C and ||, 
Iter   1153, Loss:  6.175055, PPL:  480.6092, Chunk_Size:  16, Batch_Size: 1, F: 52.93 ms, B: 130.49 msGT:  words such as peduar W and their q-Celtic equival | PD:  and and and and and and and and and and and-C and ||, 
Iter   1154, Loss:  6.299967, PPL:  544.5539, Chunk_Size:  16, Batch_Size: 1, F: 48.57 ms, B: 158.63 msGT: uar W and their q-Celtic equivalents: cethar [Ir]. | PD:  and and and and and and and and and and and-C and ||, 
Iter   1155, Loss:  6.567850, PPL:  711.8378, Chunk_Size:  16, Batch_Size: 1, F: 53.17 ms, B: 137.82 msGT:  q-Celtic equivalents: cethar [Ir].\nThe etymology | PD: ic andeltic and and andelt and and and-C-C and and ||, 
Iter   1156, Loss:  6.911677, PPL: 1003.9293, Chunk_Size:  16, Batch_Size: 1, F: 53.92 ms, B: 148.17 msGT:  equivalents: cethar [Ir].\nThe etymology, morphol | PD: ic andeltic-C andeltic-C andelt-C-Celtic-C ||, 
Iter   1157, Loss:  6.803743, PPL:  901.2145, Chunk_Size:  16, Batch_Size: 1, F: 61.44 ms, B: 144.78 msGT: ar [Ir].\nThe etymology, morphology, syntax and ph | PD: ic andicic-C andelticic andic-C-Celtic-C ||, 
Iter   1158, Loss:  5.969255, PPL:  391.2143, Chunk_Size:  16, Batch_Size: 1, F: 59.36 ms, B: 147.46 msGT: The etymology, morphology, syntax and phonology of | PD: -Cicicelt-Celticic-Celtic-C-Celtic-C ||, 
Iter   1159, Loss:  5.843430, PPL:  344.9605, Chunk_Size:  16, Batch_Size: 1, F: 54.09 ms, B: 134.73 msGT: , morphology, syntax and phonology of Cornish and  | PD: icelticelt-Celticic-Celtic,-Celtic and ||, 
Iter   1160, Loss:  6.236098, PPL:  510.8614, Chunk_Size:  16, Batch_Size: 1, F: 51.35 ms, B: 148.52 msGT:  and phonology of Cornish and the other Celtic lan | PD: -Cicic and-Celtic and-C toic,-Celtic, ||, 
Iter   1161, Loss:  6.507508, PPL:  670.1545, Chunk_Size:  16, Batch_Size: 1, F: 52.82 ms, B: 142.11 msGT:  Cornish and the other Celtic languages ultimately | PD: icicic and-C andic and: andic,-Celtic, ||, 
Iter   1162, Loss:  6.711700, PPL:  821.9668, Chunk_Size:  16, Batch_Size: 1, F: 59.86 ms, B: 159.34 msGT:  other Celtic languages ultimately derive from a p | PD: : andThe,-C andic and: andic,,,ic, ||, 
Iter   1163, Loss:  6.636171, PPL:  762.1713, Chunk_Size:  16, Batch_Size: 1, F: 54.25 ms, B: 195.84 msGT:  derive from a putative proto-Indo European or pro | PD: : andThe,: andic and: toic,,,ic, ||, 
Iter   1164, Loss:  6.001956, PPL:  404.2185, Chunk_Size:  16, Batch_Size: 1, F: 61.28 ms, B: 131.48 msGT: ative proto-Indo European or proto-Celtic language | PD: : andThe,:,ic and: andic,,,ic, ||, 
Iter   1165, Loss:  5.865691, PPL:  352.7259, Chunk_Size:  16, Batch_Size: 1, F: 50.50 ms, B: 172.06 msGT:  European or proto-Celtic language or family of la | PD: : andThe,:,ic and and toic,,,ic, ||, 
Iter   1166, Loss:  5.940877, PPL:  380.2684, Chunk_Size:  16, Batch_Size: 1, F: 53.43 ms, B: 124.15 msGT: eltic language or family of languages spoken in Br | PD: : andThe,ish,ic and and toic,ishishic, ||, 
Iter   1167, Loss:  5.922189, PPL:  373.2279, Chunk_Size:  16, Batch_Size: 1, F: 54.35 ms, B: 127.08 msGT:  family of languages spoken in Britain in pre-hist | PD: ish andThe,ish qic and and toicishishishic, ||, 
Iter   1168, Loss:  6.203973, PPL:  494.7105, Chunk_Size:  16, Batch_Size: 1, F: 83.66 ms, B: 115.60 msGT:  in Britain in pre-history.\nCornish Onomastics is | PD: ish theTheishishishic Corn and languagesicishishis ||, 
Iter   1169, Loss:  5.690897, PPL:  296.1590, Chunk_Size:  16, Batch_Size: 1, F: 63.25 ms, B: 117.95 msGT: -history.\nCornish Onomastics is the study of onom | PD: ish languagesishishishishic Corn the languagesicis ||, 
Iter   1170, Loss:  5.818042, PPL:  336.3129, Chunk_Size:  16, Batch_Size: 1, F: 53.70 ms, B: 123.88 msGT:  Onomastics is the study of onomastics (personal n | PD: ish languagesishishishymic Corn the languagesicish ||, 
Iter   1171, Loss:  5.626081, PPL:  277.5722, Chunk_Size:  16, Batch_Size: 1, F: 60.50 ms, B: 133.64 msGT:  is the study of onomastics (personal name data) a | PD: ish languagesishishishCornish Cornish languages of ||, 
Iter   1172, Loss:  5.287998, PPL:  197.9468, Chunk_Size:  16, Batch_Size: 1, F: 60.85 ms, B: 122.50 msGT:  onomastics (personal name data) and toponymics (p | PD: ish languages ofish ofCorn of Corn the languages o ||, 
Iter   1173, Loss:  5.099459, PPL:  163.9332, Chunk_Size:  16, Batch_Size: 1, F: 63.12 ms, B: 121.37 msGT:  (personal name data) and toponymics (place name d | PD:  of languages ofish ofCorn of Britainish languages ||, 
Iter   1174, Loss:  4.890924, PPL:  133.0765, Chunk_Size:  16, Batch_Size: 1, F: 51.27 ms, B: 124.86 msGT: ) and toponymics (place name data) in relation to  | PD:  is to of) of inics Britain Britain Britain of) of ||, 
Iter   1175, Loss:  4.555835, PPL:   95.1862, Chunk_Size:  16, Batch_Size: 1, F: 50.09 ms, B: 128.58 msGT: ymics (place name data) in relation to Cornwall in | PD:  the to in) in nameics Britainom Britain of) in) i ||, 
Iter   1176, Loss:  5.139974, PPL:  170.7113, Chunk_Size:  16, Batch_Size: 1, F: 55.84 ms, B: 119.69 msGT:  name data) in relation to Cornwall in the Early M | PD:  of to in) in ( of Britain the Britain of) in) in) ||, 
Iter   1177, Loss:  5.699376, PPL:  298.6810, Chunk_Size:  16, Batch_Size: 1, F: 47.17 ms, B: 123.07 msGT:  relation to Cornwall in the Early Medieval Period | PD:  the to in) in ( in Britain the Britain in) in) in ||, 
Iter   1178, Loss:  6.169067, PPL:  477.7401, Chunk_Size:  16, Batch_Size: 1, F: 58.51 ms, B: 121.10 msGT:  the Early Medieval Period (350 CE to 1000 CE). Th | PD:  the to in) in ( in ( the Britain in ( in) in ( ||, 
Iter   1179, Loss:  6.247856, PPL:  516.9035, Chunk_Size:  16, Batch_Size: 1, F: 64.87 ms, B: 128.98 msGT:  (350 CE to 1000 CE). These names are almost compl | PD:  the to in) in ( in ( to Britain in ( in) in ( ||, 
Iter   1180, Loss:  5.735222, PPL:  309.5818, Chunk_Size:  16, Batch_Size: 1, F: 60.37 ms, B: 158.86 msGT:  1000 CE). These names are almost completely in th | PD:  in name in ( in ( in ( to) in ( Britain) in ( ||, 
Iter   1181, Loss:  5.381078, PPL:  217.2564, Chunk_Size:  16, Batch_Size: 1, F: 63.78 ms, B: 121.18 msGT: ). These names are almost completely in the Cornis | PD:  in name in (ics ( in name to) in ( Early) in ( ||, 
Iter   1182, Loss:  5.243562, PPL:  189.3434, Chunk_Size:  16, Batch_Size: 1, F: 61.66 ms, B: 120.47 msGT:  almost completely in the Cornish language (the Br | PD: ics name in ( Early ( in ( to) in ( Early) in ( ||, 
Iter   1183, Loss:  5.092934, PPL:  162.8669, Chunk_Size:  16, Batch_Size: 1, F: 61.15 ms, B: 128.34 msGT:  Cornish language (the Brittonic used in Cornwall  | PD: ics name in ( Early ( in ( to) in ( Early names in ||, 
Iter   1184, Loss:  5.679739, PPL:  292.8730, Chunk_Size:  16, Batch_Size: 1, F: 49.46 ms, B: 145.35 msGT: the Brittonic used in Cornwall and a relative of W | PD: ics) in (ics (ics ( ( ( ( ( Early names ( ( ||, 
Iter   1185, Loss:  5.791287, PPL:  327.4343, Chunk_Size:  16, Batch_Size: 1, F: 62.37 ms, B: 141.60 msGT:  used in Cornwall and a relative of Welsh and Bret | PD: ics ( the ( ( ( ( ( ( ( ( ( names ( ( ( ||, 
Iter   1186, Loss:  6.365568, PPL:  581.4751, Chunk_Size:  16, Batch_Size: 1, F: 66.69 ms, B: 131.98 msGT:  a relative of Welsh and Breton.\nSometime before  | PD: ics names the ( to ( ( ( ( ( ( the to in ( ( ||, 
Iter   1187, Loss:  6.234454, PPL:  510.0219, Chunk_Size:  16, Batch_Size: 1, F: 48.49 ms, B: 119.23 msGT:  and Breton.\nSometime before C6 the closely relat | PD:  to names the the to the ( the ( in ( the to to (  ||, 
Iter   1188, Loss:  6.078859, PPL:  436.5308, Chunk_Size:  16, Batch_Size: 1, F: 58.31 ms, B: 123.81 msGT: ometime before C6 the closely related South-wester | PD:  to in the to to the ( the ( in the the to to the  ||, 
Iter   1189, Loss:  6.649726, PPL:  772.5729, Chunk_Size:  16, Batch_Size: 1, F: 57.78 ms, B: 131.25 msGT: 6 the closely related South-western British and We | PD:  data and the and and the to the to and the and an ||, 
Iter   1190, Loss:  5.216742, PPL:  184.3327, Chunk_Size:  16, Batch_Size: 1, F: 67.75 ms, B: 126.35 msGT:  South-western British and Western British languag | PD:  Cornwall in the and the and Cornwall andics in th ||, 
Iter   1191, Loss:  5.391123, PPL:  219.4498, Chunk_Size:  16, Batch_Size: 1, F: 58.85 ms, B: 147.70 msGT:  and Western British languages started to look les | PD:  Cornwall and the and the and Cornwall andics and  ||, 
Iter   1192, Loss:  5.446095, PPL:  231.8510, Chunk_Size:  16, Batch_Size: 1, F: 56.98 ms, B: 124.01 msGT:  started to look less like Gaulish and more like t | PD:  Cornwall Cornwall and and the and Cornwall and Co ||, 
Iter   1193, Loss:  4.922387, PPL:  137.3300, Chunk_Size:  16, Batch_Size: 1, F: 61.20 ms, B: 119.19 msGT:  like Gaulish and more like the modern p-Celtic la | PD:  the Cornwall and and the and Cornwall and Cornwal ||, 
Iter   1194, Loss:  4.913579, PPL:  136.1257, Chunk_Size:  16, Batch_Size: 1, F: 59.05 ms, B: 116.92 msGT:  and more like the modern p-Celtic languages, and  | PD:  the Cornwall and and the and Cornwall and Cornwal ||, 
Iter   1195, Loss:  4.716654, PPL:  111.7936, Chunk_Size:  16, Batch_Size: 1, F: 57.89 ms, B: 165.31 msGT:  modern p-Celtic languages, and Cornish, Welsh, Br | PD:  the and and and and and Cornwall and to and and a ||, 
Iter   1196, Loss:  4.599826, PPL:   99.4670, Chunk_Size:  16, Batch_Size: 1, F: 64.36 ms, B: 122.51 msGT: ic languages, and Cornish, Welsh, Breton and Cumbr | PD:  the and and and and and and and the and languages ||, 
Iter   1197, Loss:  5.450405, PPL:  232.8525, Chunk_Size:  16, Batch_Size: 1, F: 47.79 ms, B: 129.81 msGT:  Cornish, Welsh, Breton and Cumbric (extinct) bega | PD:  the and and andish and and and the and languages  ||, 
Iter   1198, Loss:  5.792959, PPL:  327.9820, Chunk_Size:  16, Batch_Size: 1, F: 64.96 ms, B: 166.37 msGT: , Breton and Cumbric (extinct) began taking shape  | PD:  the and and andish andish andish and languages an ||, 
Iter   1199, Loss:  5.313659, PPL:  203.0920, Chunk_Size:  16, Batch_Size: 1, F: 53.55 ms, B: 123.95 msGT: bric (extinct) began taking shape as modern Europe | PD:  the andish andish andish andish andish andish and ||, 
Iter   1200, Loss:  5.103615, PPL:  164.6160, Chunk_Size:  16, Batch_Size: 1, F: 58.78 ms, B: 142.54 msGT: inct) began taking shape as modern European langua | PD:  the andic andish,ish andish and languages andish  ||, 
Iter   1201, Loss:  4.359947, PPL:   78.2530, Chunk_Size:  16, Batch_Size: 1, F: 63.05 ms, B: 125.90 msGT:  shape as modern European languages. Cornish and B | PD: ish andicic languages,ishicish,ishic languages lan ||, 
Iter   1202, Loss:  4.894767, PPL:  133.5889, Chunk_Size:  16, Batch_Size: 1, F: 80.83 ms, B: 132.62 msGT:  languages. Cornish and Breton (from South-western | PD: ish British languagesic languages,ishicishic langu ||, 
Iter   1203, Loss:  5.881512, PPL:  358.3506, Chunk_Size:  16, Batch_Size: 1, F: 57.96 ms, B: 142.98 msGT:  and Breton (from South-western British) eventuall | PD: ish Britishishic languages,ishic Breton Britishish ||, 
Iter   1204, Loss:  6.202443, PPL:  493.9541, Chunk_Size:  16, Batch_Size: 1, F: 74.67 ms, B: 172.66 msGT:  South-western British) eventually diverged from e | PD: ish Britishish Corn Breton, British South Breton B ||, 
Iter   1205, Loss:  6.488373, PPL:  657.4526, Chunk_Size:  16, Batch_Size: 1, F: 55.07 ms, B: 127.28 msGT: ) eventually diverged from each other during the l | PD:  Breton British British Corn Breton British Britis ||, 
Iter   1206, Loss:  6.329720, PPL:  560.9992, Chunk_Size:  16, Batch_Size: 1, F: 54.03 ms, B: 175.51 msGT:  from each other during the last part of the Early | PD:  Breton, British South Breton, British South Breto ||, 
Iter   1207, Loss:  6.081192, PPL:  437.5504, Chunk_Size:  16, Batch_Size: 1, F: 53.27 ms, B: 141.46 msGT:  the last part of the Early Medieval Period.\nTher | PD:  Breton, British South to, British South Breton, B ||, 
Iter   1208, Loss:  6.026900, PPL:  414.4283, Chunk_Size:  16, Batch_Size: 1, F: 56.62 ms, B: 126.83 msGT:  the Early Medieval Period.\nThere will have been  | PD:  the, British,., British, the, British,,, British, ||, 
Iter   1209, Loss:  5.908045, PPL:  367.9860, Chunk_Size:  16, Batch_Size: 1, F: 52.84 ms, B: 140.27 msGT: .\nThere will have been dialectic differences in t | PD:  Breton, British,., British, Breton,,,,,,, ||, 
Iter   1210, Loss:  5.572499, PPL:  263.0908, Chunk_Size:  16, Batch_Size: 1, F: 52.55 ms, B: 142.01 msGT:  been dialectic differences in these regions of Br | PD:  Breton, British, Breton, the, Breton, the,,, the, ||, 
Iter   1211, Loss:  5.674966, PPL:  291.4785, Chunk_Size:  16, Batch_Size: 1, F: 48.01 ms, B: 137.48 msGT:  in these regions of Brittonic usage as well as di | PD:  Breton, the the-west, the, Breton, the the,, the, ||, 
Iter   1212, Loss:  5.416790, PPL:  225.1552, Chunk_Size:  16, Batch_Size: 1, F: 58.65 ms, B: 157.88 msGT:  Brittonic usage as well as differences in naming  | PD: -west, the the-west, the the-west, the the,, the, ||, 
Iter   1213, Loss:  5.875901, PPL:  356.3455, Chunk_Size:  16, Batch_Size: 1, F: 57.76 ms, B: 147.18 msGT:  as well as differences in naming practice between | PD: -west, the the-west, the the-west, the the-west, t ||, 
Iter   1214, Loss:  6.029965, PPL:  415.7004, Chunk_Size:  16, Batch_Size: 1, F: 58.70 ms, B: 143.32 msGT:  in naming practice between them, but the structur | PD: -west, of the-west, the the-west, the the-west, th ||, 
Iter   1215, Loss:  6.176101, PPL:  481.1123, Chunk_Size:  16, Batch_Size: 1, F: 53.42 ms, B: 207.26 msGT:  them, but the structure and many name elements of | PD: -west as of the-west as as the-west as as the as a ||, 
Iter   1216, Loss:  6.031584, PPL:  416.3740, Chunk_Size:  16, Batch_Size: 1, F: 51.10 ms, B: 138.76 msGT:  structure and many name elements of Early Cornish | PD:  eventually as of the-west as differences the Earl ||, 
Iter   1217, Loss:  5.460369, PPL:  235.1842, Chunk_Size:  16, Batch_Size: 1, F: 46.88 ms, B: 144.54 msGT:  elements of Early Cornish personal names broadly  | PD:  each as differences the-west as differences the E ||, 
Iter   1218, Loss:  5.447870, PPL:  232.2629, Chunk_Size:  16, Batch_Size: 1, F: 52.20 ms, B: 143.63 msGT: ish personal names broadly follows that of early n | PD:  each differences differences as Early differences ||, 
Iter   1219, Loss:  5.363558, PPL:  213.4831, Chunk_Size:  16, Batch_Size: 1, F: 50.21 ms, B: 155.80 msGT:  follows that of early names found in Britain, Ire | PD:  each differences differences as of differences di ||, 
Iter   1220, Loss:  5.709174, PPL:  301.6219, Chunk_Size:  16, Batch_Size: 1, F: 50.74 ms, B: 132.12 msGT:  names found in Britain, Ireland, Gaul and Celt-Ib | PD:  each differences differences differences of diffe ||, 
Iter   1221, Loss:  5.545151, PPL:  255.9933, Chunk_Size:  16, Batch_Size: 1, F: 53.06 ms, B: 126.20 msGT: , Ireland, Gaul and Celt-Iberia. It is these names | PD:  these differences differences differences of diff ||, 
